"filename", "language", "Vue", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"d:\workshop\Vue\my-resume\src\App.vue", "Vue", 35, 0, 0, 0, 0, 8, 43
"d:\workshop\Vue\my-resume\src\assets\base.css", "CSS", 0, 0, 71, 0, 2, 14, 87
"d:\workshop\Vue\my-resume\src\assets\editor.css", "CSS", 0, 0, 34, 0, 1, 7, 42
"d:\workshop\Vue\my-resume\src\assets\global.css", "CSS", 0, 0, 36, 0, 0, 12, 48
"d:\workshop\Vue\my-resume\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"d:\workshop\Vue\my-resume\src\assets\main.css", "CSS", 0, 0, 18, 0, 14, 5, 37
"d:\workshop\Vue\my-resume\src\components\IconPicker.vue", "Vue", 89, 0, 0, 0, 0, 34, 123
"d:\workshop\Vue\my-resume\src\components\MdAstNode.vue", "Vue", 312, 0, 0, 0, 0, 74, 386
"d:\workshop\Vue\my-resume\src\components\UploadImage.vue", "Vue", 8, 0, 0, 0, 0, 6, 14
"d:\workshop\Vue\my-resume\src\components\data\fonts.ts", "TypeScript", 0, 1505, 0, 0, 0, 1, 1506
"d:\workshop\Vue\my-resume\src\globalConfig.ts", "TypeScript", 0, 5, 0, 0, 0, 3, 8
"d:\workshop\Vue\my-resume\src\main.ts", "TypeScript", 0, 15, 0, 0, 4, 9, 28
"d:\workshop\Vue\my-resume\src\markdownparser.ts", "TypeScript", 0, 50, 0, 0, 12, 10, 72
"d:\workshop\Vue\my-resume\src\router\example_routes.ts", "TypeScript", 0, 21, 0, 0, 5, 3, 29
"d:\workshop\Vue\my-resume\src\router\index.ts", "TypeScript", 0, 62, 0, 0, 1, 10, 73
"d:\workshop\Vue\my-resume\src\stores\resume.ts", "TypeScript", 0, 296, 0, 0, 29, 71, 396
"d:\workshop\Vue\my-resume\src\stores\resumr_style.ts", "TypeScript", 0, 124, 0, 0, 2, 14, 140
"d:\workshop\Vue\my-resume\src\stores\user.ts", "TypeScript", 0, 31, 0, 0, 1, 12, 44
"d:\workshop\Vue\my-resume\src\utils\imageTool.ts", "TypeScript", 0, 55, 0, 0, 1, 16, 72
"d:\workshop\Vue\my-resume\src\utils\message.ts", "TypeScript", 0, 13, 0, 0, 0, 6, 19
"d:\workshop\Vue\my-resume\src\utils\request.ts", "TypeScript", 0, 127, 0, 0, 31, 21, 179
"d:\workshop\Vue\my-resume\src\utils\str.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"d:\workshop\Vue\my-resume\src\views\HomePage.vue", "Vue", 37, 0, 0, 0, 0, 9, 46
"d:\workshop\Vue\my-resume\src\views\MarkdownEditor.vue", "Vue", 49, 0, 0, 0, 0, 25, 74
"d:\workshop\Vue\my-resume\src\views\MyResume.vue", "Vue", 84, 0, 0, 0, 0, 25, 109
"d:\workshop\Vue\my-resume\src\views\ResumeDesign.vue", "Vue", 61, 0, 0, 0, 2, 16, 79
"d:\workshop\Vue\my-resume\src\views\ResumePreview.vue", "Vue", 240, 0, 0, 0, 4, 45, 289
"d:\workshop\Vue\my-resume\src\views\StyleDesign.vue", "Vue", 94, 0, 0, 0, 1, 23, 118
"d:\workshop\Vue\my-resume\src\views\api.ts", "TypeScript", 0, 76, 0, 0, 1, 22, 99
"d:\workshop\Vue\my-resume\src\views\examples\ComponentsExample.vue", "Vue", 23, 0, 0, 0, 1, 11, 35
"d:\workshop\Vue\my-resume\src\views\examples\ComposablesExample.ts", "TypeScript", 0, 12, 0, 0, 6, 5, 23
"d:\workshop\Vue\my-resume\src\views\examples\NavieUITest.vue", "Vue", 18, 0, 0, 0, 0, 7, 25
"d:\workshop\Vue\my-resume\src\views\examples\RouterExample.vue", "Vue", 43, 0, 0, 0, 0, 10, 53
"d:\workshop\Vue\my-resume\src\views\examples\VueExample.vue", "Vue", 129, 0, 0, 0, 23, 40, 192
"d:\workshop\Vue\my-resume\src\views\headers\AppHeader.vue", "Vue", 71, 0, 0, 0, 0, 16, 87
"d:\workshop\Vue\my-resume\src\views\headers\DesignHeader.vue", "Vue", 179, 0, 0, 0, 1, 38, 218
"d:\workshop\Vue\my-resume\src\views\login\UserLogin.vue", "Vue", 175, 0, 0, 0, 0, 33, 208
"d:\workshop\Vue\my-resume\src\views\login\api.ts", "TypeScript", 0, 48, 0, 0, 0, 14, 62
"Total", "-", 1647, 2446, 159, 1, 142, 678, 5073
